Interval Start,Internal CO2 (tonnes),Exported CO2 (tonnes),Imported CO2 (tonnes),Load,VRE,Total_CO2_Emissions,delta_Load,delta_VRE,delta_Total_CO2_Emissions
2025-11-15 01:00:00+00:00,3223.48594554,868.18874559,67.831129635,5403.0,3189.0,2423.1283295850003,-62.0,74.0,-134.2089489
2025-11-15 02:00:00+00:00,3145.0289580000003,907.97606532,44.476558995000005,5321.0,3218.0,2281.529451675,-82.0,29.0,-141.59887791000028
2025-11-15 03:00:00+00:00,3188.95667007,864.35316741,0.0,5360.0,3312.0,2324.6035026600002,39.0,94.0,43.07405098500021
2025-11-15 04:00:00+00:00,3134.0257111349997,829.6714848600001,0.0,5291.0,3251.0,2304.3542262749997,-69.0,-61.0,-20.249276385000485
2025-11-15 05:00:00+00:00,3143.5774619999997,913.7303397750001,0.0,5137.0,3325.0,2229.847122225,-154.0,74.0,-74.50710404999973
2025-11-15 06:00:00+00:00,3189.4810230000003,1020.1667270849999,0.0,5012.0,3298.0,2169.314295915,-125.0,-27.0,-60.53282631000002
2025-11-15 07:00:00+00:00,3184.95961296,976.1773264349999,0.0,4815.0,3112.0,2208.782286525,-197.0,-186.0,39.467990610000015
2025-11-15 08:00:00+00:00,2890.2006915,814.7083754700001,20.169444105,4722.0,2803.0,2095.661760135,-93.0,-309.0,-113.12052639000012
2025-11-15 09:00:00+00:00,3008.22546,858.8057311350001,39.488855865000005,4535.0,2527.0,2188.9085847300003,-187.0,-276.0,93.24682459500036
2025-11-15 10:00:00+00:00,3011.309889,844.562926635,28.44387849,4449.0,2411.0,2195.190840855,-86.0,-116.0,6.282256124999549
2025-11-15 11:00:00+00:00,3011.128452,830.7446847150001,149.40066891,4483.0,2248.0,2329.784436195,34.0,-163.0,134.59359534000032
2025-11-15 12:00:00+00:00,3104.4777885,818.4632141850001,96.572564805,4574.0,2322.0,2382.58713912,91.0,74.0,52.80270292499972
